DEC2OCT;Converts a decimal number to octal;ДЕС.В.ВОСЬМ;Преобразует десятичное число в восьмеричное.;DEC2OCT;;;
DECIMAL;Converts a text representation of a number in a given base into a decimal number;ДЕС;Преобразует текстовое представление числа в заданном основании в десятичное число.;DECIMAL;;;
DEGREES;Converts radians to degrees;ГРАДУСЫ;Преобразует радианы в градусы.;DEGREES;;;
DELTA;Tests whether two values are equal;ДЕЛЬТА;Проверяет равенство двух значений.;DELTA;;;
DEVSQ;Returns the sum of squares of deviations;КВАДРОТКЛ;Возвращает сумму квадратов отклонений.;DEVSQ;;;
DGET;Extracts from a database a single record that matches the specified criteria;БИЗВЛЕЧЬ;Извлекает из базы данных одну запись, удовлетворяющую заданному условию.;;;;
DISC;Returns the discount rate for a security;СКИДКА;Возвращает ставку дисконтирования для ценных бумаг.;;;;
DMAX;Returns the maximum value from selected database entries;ДМАКС;Возвращает максимальное значение среди выделенных записей базы данных.;;;;
DMIN;Returns the minimum value from selected database entries;ДМИН;Возвращает минимальное значение среди выделенных записей базы данных.;;;;
DOLLAR;Converts a number to text, using the $ (dollar) currency format;РУБЛЬ;Преобразует число в текст, используя денежный формат рубля.;DOLLAR;;;
DOLLARDE;Converts a dollar price, expressed as a fraction, into a dollar price, expressed as a decimal number;РУБЛЬ.ДЕС;Преобразует цену в рублях, выраженную в виде дроби, в цену в рублях, выраженную десятичным числом.;;;;
DOLLARFR;Converts a dollar price, expressed as a decimal number, into a dollar price, expressed as a fraction;РУБЛЬ.ДРОБЬ;Преобразует цену в рублях, выраженную десятичным числом, в цену в рублях, выраженную в виде дроби.;;;;
DPRODUCT;Multiplies the values in a particular field of records that match the criteria in a database;БДПРОИЗВЕД;Перемножает значения определенного поля в записях базы данных, удовлетворяющих условию.;;;;
DSTDEV;Estimates the standard deviation based on a sample of selected database entries;ДСТАНДОТКЛ;Оценивает стандартное отклонение по выборке из выделенных записей базы данных.;;;;
DSTDEVP;Calculates the standard deviation based on the entire population of selected database entries;ДСТАНДОТКЛП;Вычисляет стандартное отклонение по генеральной совокупности из выделенных записей базы данных.;;;;
DSUM;Adds the numbers in the field column of records in the database that match the criteria;БДСУММ;Суммирует числа в поле для записей базы данных, удовлетворяющих условию.;;;;
DURATION;Returns the annual duration of a security with periodic interest payments;ДЛИТ;Возвращает продолжительность Маколея для ценных бумаг, по которым выплачивается периодический процент.;;;;
DVAR;Estimates variance based on a sample from selected database entries;БДДИСП;Оценивает дисперсию по выборке из выделенных записей базы данных.;;;;
DVARP;Calculates variance based on the entire population of selected database entries;БДДИСПП;Вычисляет дисперсию по генеральной совокупности для выделенных записей базы данных.;;;;
EDATE;Returns the serial number of the date that is the indicated number of months before or after the start date;ДАТАМЕС;Возвращает дату в числовом формате, отстоящую на заданное число месяцев вперед или назад от начальной даты.;EDATE;;;
EFFECT;Returns the effective annual interest rate;ЭФФЕКТ;Возвращает фактическую (эффективную) годовую процентную ставку.;;;;
ENCODEURL;Returns a URL-encoded string;КОДИР.URL;Возвращает строку запроса, зашифрованную в виде URL-адреса.;ENCODEURL;;;
EOMONTH;Returns the serial number of the last day of the month before or after a specified number of months;КОНМЕСЯЦА;Возвращает дату в числовом формате для последнего дня месяца, отстоящего вперед или назад на заданное число месяцев.;EOMONTH;;;
ERF;Returns the error function;ФОШ;Возвращает функцию ошибки.;ERF;;;
ERF.PRECISE;Returns the error function;ФОШ.ТОЧН;Возвращает функцию ошибки.;;;;
ERFC;Returns the complementary error function;ДФОШ;Возвращает дополнительную функцию ошибки.;ERFC;;;
ERFC.PRECISE;Returns the complementary ERF function integrated between x and infinity;ДФОШ.ТОЧН;Возвращает дополнительную функцию ФОШ, проинтегрированную в пределах от x до бесконечности.;;;;
